Asset Name,Asset Type,Unity Path,Source Folder,Is Enemy Related,Is Animation Related,Clip Count,Clip Names,Has Avatar,Rig / Avatar Notes,Likely Usage,Notes
"Enemy_Basic_Test 1","Prefab","Assets/_DiveProtocol/Prefabs/Enemies/Enemy_Basic_Test 1.prefab","_DiveProtocol","Yes","No",0,"","No","Animator Count=0; Controllers=None; Avatars=None","Not Animation","Prefab animation binding scan"
"Enemy_Basic_Test","Prefab","Assets/_DiveProtocol/Prefabs/Enemies/Enemy_Basic_Test.prefab","_DiveProtocol","Yes","No",0,"","No","Animator Count=0; Controllers=None; Avatars=None","Not Animation","Prefab animation binding scan"
"Characters","Avatar","Assets/PolygonApocalypse/Models/Characters.fbx","PolygonApocalypse","No","No",0,"","Yes","CharactersAvatar IsHuman=True IsValid=True","Not Animation","Avatar subasset(s): CharactersAvatar"
"SM_Bld_Commercial_Medium_01_Overgrowth_01","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Commercial_Medium_01_Overgrowth_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Commercial_Medium_01_Overgrowth_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Commercial_Medium_01_Overgrowth_01Avatar"
"SM_Bld_Junk_Shelter_01_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_01_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_01_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_01_TarpAvatar"
"SM_Bld_Junk_Shelter_02_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_02_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_02_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_02_TarpAvatar"
"SM_Bld_Junk_Shelter_03_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_03_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_03_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_03_TarpAvatar"
"SM_Bld_Junk_Shelter_04_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_04_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_04_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_04_TarpAvatar"
"SM_Bld_Junk_Shelter_05_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_05_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_05_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_05_TarpAvatar"
"SM_Bld_Junk_Shelter_06_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Junk_Shelter_06_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Junk_Shelter_06_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Junk_Shelter_06_TarpAvatar"
"SM_Bld_Tarp_Generic_01","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Tarp_Generic_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Tarp_Generic_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Tarp_Generic_01Avatar"
"SM_Bld_Tarp_Generic_02","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Tarp_Generic_02.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Tarp_Generic_02Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Tarp_Generic_02Avatar"
"SM_Bld_Tarp_Generic_03","Avatar","Assets/PolygonApocalypse/Models/SM_Bld_Tarp_Generic_03.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Bld_Tarp_Generic_03Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Bld_Tarp_Generic_03Avatar"
"SM_Env_Bridge_Support_01","Avatar","Assets/PolygonApocalypse/Models/SM_Env_Bridge_Support_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Env_Bridge_Support_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Env_Bridge_Support_01Avatar"
"SM_Env_Road_Dirt_Straight_01","Avatar","Assets/PolygonApocalypse/Models/SM_Env_Road_Dirt_Straight_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Env_Road_Dirt_Straight_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Env_Road_Dirt_Straight_01Avatar"
"SM_Generic_SkyDome","Avatar","Assets/PolygonApocalypse/Models/SM_Generic_SkyDome.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Generic_SkyDomeAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Generic_SkyDomeAvatar"
"SM_Prop_Backetball_Hoop_02","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Backetball_Hoop_02.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Backetball_Hoop_02Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Backetball_Hoop_02Avatar"
"SM_Prop_BarrelStack_01_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_BarrelStack_01_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_BarrelStack_01_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_BarrelStack_01_TarpAvatar"
"SM_Prop_Car_Wrecked_Stack_01_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Car_Wrecked_Stack_01_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Car_Wrecked_Stack_01_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Car_Wrecked_Stack_01_TarpAvatar"
"SM_Prop_Gas_Table_01_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Gas_Table_01_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Gas_Table_01_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Gas_Table_01_TarpAvatar"
