Category,Asset Name,Asset Type,Unity Path,Source Package / Folder,Likely Usage,Used In Scene,Scene Path,Notes
"Material","MAT_Blockout_BalconyRailing","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_BalconyRailing.mat","_DiveProtocol","Surface material","Yes","SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_Blockout_Boss","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Boss.mat","_DiveProtocol","Surface material","Yes","SCN_L02_Containment","Project self resource"
"Material","MAT_Blockout_BuildSelection","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_BuildSelection.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Code","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Code.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_ConditionalEnemy","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_ConditionalEnemy.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_CoreArena","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_CoreArena.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_CoreBoss","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_CoreBoss.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_CoreDebris","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_CoreDebris.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_CorePreparation","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_CorePreparation.mat","_DiveProtocol","Surface material","Yes","SCN_L04_FacilityCore","Project self resource"
"Material","MAT_Blockout_Debris","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Debris.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Elevator","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Elevator.mat","_DiveProtocol","Surface material","Yes","SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_Blockout_Enemy","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Enemy.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Exit","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Exit.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage","Project self resource"
"Material","MAT_Blockout_FinalModification","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_FinalModification.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Floor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Floor.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource"
"Material","MAT_Blockout_Fuse","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Fuse.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Incinerator","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Incinerator.mat","_DiveProtocol","Surface material","Yes","SCN_L02_Containment","Project self resource"
"Material","MAT_Blockout_Key","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Key.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_LockedDoor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_LockedDoor.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_Blockout_LowerFloor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_LowerFloor.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_OneWayDoor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_OneWayDoor.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_Blockout_PhaseTwoCore","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_PhaseTwoCore.mat","_DiveProtocol","Surface material","Yes","SCN_L04_FacilityCore","Project self resource"
"Material","MAT_Blockout_Reconstruction","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Reconstruction.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Resource","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Resource.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_ResultsTransition","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_ResultsTransition.mat","_DiveProtocol","Surface material","Yes","SCN_L04_FacilityCore","Project self resource"
"Material","MAT_Blockout_Stairs","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Stairs.mat","_DiveProtocol","Surface material","Yes","SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_Blockout_StandardDoor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_StandardDoor.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
